Hours,Low,High,Last,Weight Avg.
00:00 - 00:30,58.0,75.21,61.0,64.43
00:30 - 01:00,64.0,79.0,79.0,70.35
01:00 - 01:30,64.75,79.0,79.0,71.58
01:30 - 02:00,66.42,77.0,72.0,72.85
02:00 - 02:30,64.26,76.01,67.02,68.75
02:30 - 03:00,56.43,72.4,60.0,66.05
03:00 - 03:30,57.71,73.09,60.01,65.24
03:30 - 04:00,40.01,73.33,63.0,65.09
04:00 - 04:30,59.58,74.45,63.01,66.8
04:30 - 05:00,59.0,75.29,60.0,65.45
05:00 - 05:30,60.01,83.65,62.0,65.83
05:30 - 06:00,62.0,80.2,67.57,66.83
06:00 - 06:30,34.9,85.0,81.42,75.4
06:30 - 07:00,63.3,90.82,84.49,77.42
07:00 - 07:30,38.0,88.68,85.0,80.78
07:30 - 08:00,38.9,89.91,82.0,81.65
08:00 - 08:30,40.2,94.54,92.54,87.64
08:30 - 09:00,21.7,91.38,82.92,86.1
09:00 - 09:30,46.8,92.06,79.27,82.2
09:30 - 10:00,65.0,98.21,84.0,90.84
10:00 - 10:30,60.0,90.87,85.01,81.05
10:30 - 11:00,25.1,88.95,80.17,83.65
11:00 - 11:30,69.5,94.18,90.0,79.89
11:30 - 12:00,31.0,105.4,92.97,90.0
12:00 - 12:30,76.12,95.1,81.89,85.96
12:30 - 13:00,79.6,97.69,92.96,89.01
13:00 - 13:30,83.41,98.99,97.19,90.58
13:30 - 14:00,75.01,96.48,79.0,84.3
14:00 - 14:30,73.68,94.27,86.0,83.13
14:30 - 15:00,75.9,95.06,95.06,85.44
15:00 - 15:30,84.21,101.24,87.0,90.79
15:30 - 16:00,59.5,94.4,76.0,86.87
16:00 - 16:30,78.41,93.69,86.99,87.16
16:30 - 17:00,79.58,97.92,85.51,91.41
17:00 - 17:30,83.02,106.0,92.0,91.22
17:30 - 18:00,74.67,106.64,80.0,91.66
18:00 - 18:30,92.54,109.79,95.51,98.76
18:30 - 19:00,77.27,102.83,85.28,93.04
19:00 - 19:30,88.0,111.2,97.24,96.49
19:30 - 20:00,77.91,104.46,78.51,91.31
20:00 - 20:30,71.28,101.02,77.22,87.6
20:30 - 21:00,80.48,103.68,95.0,90.87
21:00 - 21:30,71.45,93.64,72.0,82.98
21:30 - 22:00,78.0,88.16,87.99,82.92
22:00 - 22:30,73.0,94.67,88.0,85.53
22:30 - 23:00,72.91,85.53,79.55,81.0
23:00 - 23:30,76.31,103.63,95.42,82.1
23:30 - 24:00,79.0,94.55,94.11,83.14
