Hours,Low,High,Last,Weight Avg.
00:00 - 00:30,70.0,81.53,74.8,75.05
00:30 - 01:00,74.58,85.0,80.31,79.96
01:00 - 01:30,67.26,81.17,69.0,73.31
01:30 - 02:00,71.19,82.0,75.01,75.25
02:00 - 02:30,53.29,81.1,62.07,69.27
02:30 - 03:00,63.61,96.5,65.0,70.29
03:00 - 03:30,64.5,78.38,64.5,68.9
03:30 - 04:00,60.0,79.54,60.0,66.99
04:00 - 04:30,61.0,75.13,64.0,66.33
04:30 - 05:00,62.76,76.0,66.0,66.76
05:00 - 05:30,62.6,74.8,66.0,67.04
05:30 - 06:00,60.0,73.4,60.0,65.02
06:00 - 06:30,45.46,70.03,61.71,64.11
06:30 - 07:00,21.5,69.22,55.97,62.74
07:00 - 07:30,24.5,72.93,64.29,66.38
07:30 - 08:00,24.8,72.03,64.0,65.81
08:00 - 08:30,28.3,75.79,62.0,67.38
08:30 - 09:00,29.9,77.68,67.75,68.98
09:00 - 09:30,59.34,74.99,67.0,65.74
09:30 - 10:00,57.06,78.0,73.32,71.45
10:00 - 10:30,57.13,74.66,59.92,66.86
10:30 - 11:00,52.3,76.05,53.0,65.78
11:00 - 11:30,59.0,76.52,64.0,65.69
11:30 - 12:00,50.65,80.0,69.0,67.71
12:00 - 12:30,61.98,83.0,82.99,70.32
12:30 - 13:00,60.25,86.46,68.53,68.83
13:00 - 13:30,63.09,87.62,83.99,70.53
13:30 - 14:00,62.64,83.45,75.3,71.72
14:00 - 14:30,60.02,74.23,66.16,68.77
14:30 - 15:00,51.91,74.69,60.19,66.95
15:00 - 15:30,57.07,75.95,58.0,68.25
15:30 - 16:00,59.02,77.39,62.5,67.52
16:00 - 16:30,65.0,80.8,72.0,72.02
16:30 - 17:00,60.94,90.0,64.7,72.53
17:00 - 17:30,69.14,86.99,73.99,78.94
17:30 - 18:00,79.12,91.77,89.19,84.98
18:00 - 18:30,74.53,93.47,76.0,86.37
18:30 - 19:00,73.52,98.54,82.99,85.95
19:00 - 19:30,80.11,96.49,80.11,87.28
19:30 - 20:00,69.0,86.6,70.02,79.78
20:00 - 20:30,65.33,87.48,72.0,79.78
20:30 - 21:00,61.0,85.1,61.0,71.89
21:00 - 21:30,63.5,83.1,66.0,72.87
21:30 - 22:00,62.97,84.67,65.0,70.67
22:00 - 22:30,68.0,85.28,81.0,78.0
22:30 - 23:00,66.91,85.08,71.99,78.17
23:00 - 23:30,62.0,81.9,63.0,71.7
23:30 - 24:00,54.88,76.16,60.03,67.7
